Physical Name,Type,Not Null,Primary Key
id,int,x,x
service_id,int,x,
corporation_id,int,x,
target_year,date,x,
code,int,x,
name,varchar(20),x,
social_insurance_collection_type_id,tinyint(1),,
retirement_collection_type_id,tinyint(1),,
wage_calculation_period_start_1,date,,
wage_calculation_period_end_1,date,,
salary_payment_date_1,date,,
working_days_1,smallint,,
working_hours_1,int,,
wage_calculation_period_start_2,date,,
wage_calculation_period_end_2,date,,
salary_payment_date_2,date,,
working_days_2,smallint,,
working_hours_2,int,,
wage_calculation_period_start_3,date,,
wage_calculation_period_end_3,date,,
salary_payment_date_3,date,,
working_days_3,smallint,,
working_hours_3,int,,
wage_calculation_period_start_4,date,,
wage_calculation_period_end_4,date,,
salary_payment_date_4,date,,
working_days_4,smallint,,
working_hours_4,int,,
wage_calculation_period_start_5,date,,
wage_calculation_period_end_5,date,,
salary_payment_date_5,date,,
working_days_5,smallint,,
working_hours_5,int,,
wage_calculation_period_start_6,date,,
wage_calculation_period_end_6,date,,
salary_payment_date_6,date,,
working_days_6,smallint,,
working_hours_6,int,,
wage_calculation_period_start_7,date,,
wage_calculation_period_end_7,date,,
salary_payment_date_7,date,,
working_days_7,smallint,,
working_hours_7,int,,
wage_calculation_period_start_8,date,,
wage_calculation_period_end_8,date,,
salary_payment_date_8,date,,
working_days_8,smallint,,
working_hours_8,int,,
wage_calculation_period_start_9,date,,
wage_calculation_period_end_9,date,,
salary_payment_date_9,date,,
working_days_9,smallint,,
working_hours_9,int,,
wage_calculation_period_start_10,date,,
wage_calculation_period_end_10,date,,
salary_payment_date_10,date,,
working_days_10,smallint,,
working_hours_10,int,,
wage_calculation_period_start_11,date,,
wage_calculation_period_end_11,date,,
salary_payment_date_11,date,,
working_days_11,smallint,,
working_hours_11,int,,
wage_calculation_period_start_12,date,,
wage_calculation_period_end_12,date,,
salary_payment_date_12,date,,
working_days_12,smallint,,
working_hours_12,int,,
salary_payment_date_reserve_1st_month,date,,
working_days_reserve_1st_month,smallint,,
working_hours_reserve_1st_month,int,,
salary_payment_date_reserve_2nd_month,date,,
working_days_reserve_2nd_month,smallint,,
working_hours_reserve_2nd_month,int,,
salary_payment_date_reserve_3rd_month,date,,
working_days_reserve_3rd_month,smallint,,
working_hours_reserve_3rd_month,int,,
bonus_payment_date_1,date,,
bonus_payment_date_2,date,,
bonus_payment_date_3,date,,
bonus_payment_date_4,date,,
bonus_payment_date_5,date,,
bonus_payment_date_6,date,,
normal_ot_rate,smallint,,
night_ot_rate,smallint,,
holiday_ot_rate,smallint,,
ot_1_addition_rate,smallint,,
ot_2_addition_rate,smallint,,
ot_3_addition_rate,smallint,,
ot_4_addition_rate,smallint,,
ot_5_addition_rate,smallint,,
ot_6_addition_rate,smallint,,
ot_7_addition_rate,smallint,,
ot_8_addition_rate,smallint,,
absence_reduction_addition_rate,smallint,,
late_early_reduction_addition_rate,smallint,,
hourly_wage_leave_allowance,tinyint,,
ot_allowance_standard_target_month,tinyint,,
reduction_standard_target_month,tinyint,,
ot_allowance_rounding_unit,tinyint,,
ot_allowance_rounding_method,tinyint,,
reduction_rounding_unit,tinyint,,
reduction_rounding_method,tinyint,,
note,varchar(50),,
created_at,datetime,,
updated_at,datetime,,
deleted_at,datetime,,